"IDLOCALIDAD","IDESTADO","IDMUNICIPI","NOMBRE_LOCALIDAD","NUMERO_MAPA","ESCALA_MAPA","LATITUD_GRADOS","LATITUD_MINUTOS","LATITUD_SEGUNDOS","LONGITUD_GRADOS","LONGITUD_MINUTOS","LONGITUD_SEGUNDOS","MERCATOR_NORTE","MERCATOR_ESTE","LOCALIDAD","COORDENADA_N-S","COORDENADA_E-W","ELEVACION","IDPRECISION","COMENTARIOS","suma"
12.00,14.00,0.00,"Chapala-Zacoalco","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
13.00,15.00,0.00,"Apaxco","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
14.00,15.00,0.00,"San Vicente Chicoloapan","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","cerca de San Vicente Chicoalapan, en el km 29 de la carretera Ciudad de México-Texcoco. Algunos autores consideran que son dos localidaddes distintas San Vicente Chicoloapan y cerca de Sanvicente Chicoloapan. En el Catálogo del INAH, se observa que son una misma localidad, la cual dice ""minas de arena de San Vicente Chicoloapan""",1.00
15.00,21.00,0.00,"Atepetzingo","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
16.00,21.00,0.00,"Valsequillo","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
17.00,7.00,107.00,"Villa Corzo","ND","ND",16.00,11.00,99.00,93.00,16.00,99.00,"ND","ND","ND","ND","ND",580.00,"ND","Terracería Villa de Corzo-Monterrey; aprx. 900 m S entronque con la carretera pavimentada a Revolución Mexicana. El carnívoro puede ser de otro sitio dif. al del perezoso y el proboscideo",1.00
18.00,26.00,0.00,"El Golfo","ND","ND",32.00,40.00,99.00,114.00,30.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
19.00,9.00,0.00,"Cerro del Tepeyac","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","junto a la Basilica de Guadalupe, al N del D.F.; 2 millas NW Peñon; al pie del cerro del Tepeyac; cerca de una legua del Peñon; en la falda SW de la pequeña cordillera de Tepeyac; en la base de los cerros Guadalupe",1.00
20.00,15.00,0.00,"Tlapacoya II","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ref. 774: cerrro de Tlaplacoya al S de la Sierra del Pino al SE de la cuenca de México",1.00
21.00,1.00,0.00,"Arroyo San Francisco","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ciudad de Aguascalientes","4 Km SE","ND",9999.00,"ND","Formación Tacubaya",1.00
22.00,1.00,0.00,"Arroyo Cedazo","ND","ND",21.00,52.00,30.00,102.00,14.00,99.00,"ND","ND","ciudad de Aguascalientes","3 Km SE","ND",9999.00,"ND","Carranza-Castañeda le dan la ubicación del Arroyo San Francisco, en algunos de los fósiles: 4 km SE ciudad de Aguascalientes Ref 150:",1.00
23.00,33.00,0.00,"México","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","Ref. 336 dice cuenca de México","ND","ND",9999.00,"ND","ND",1.00
24.00,5.00,0.00,"Arroyo del Arenal","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","2 Km NE Rancho Durazno, Valle de El Durazno, Parras",1.00
25.00,5.00,27.00,"Arroyo Ojuelo","G14-G24","1:50,000",25.00,32.00,34.00,100.00,54.00,3.00,"ND","ND","ND","ND","ND",1390.00,"ND","1 Km NW Rancho Ojuelo, Valle de El Durazno, Parras",1.00
26.00,15.00,0.00,"Texcoco","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","cerca de Texcoco",1.00
27.00,1.00,1.00,"Calle Hornedo, Cd. de Aguascalientes","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ciudad de Aguascalientes","ND","ND",9999.00,"ND","frente al Templo de San Juan Nepomuceno",1.00
28.00,28.00,0.00,"Tula","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","cerca de la población de Tula, ref. 824 la menciona como area de Tula",1.00
29.00,15.00,0.00,"San Pedro de las Salinas","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
30.00,11.00,0.00,"Rancho Viejo","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","Distrito San Miguel Allende","ND","ND",9999.00,"ND","Distrito San Miguel Allende",1.00
31.00,33.00,0.00,"Valle de México","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ref. 49 dice que es Edo. México",1.00
32.00,3.00,0.00,"Las Tunas","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
33.00,3.00,0.00,"Rancho El Carrizal","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
34.00,3.00,0.00,"Rancho Algodones","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
35.00,3.00,0.00,"Santa Rita","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
36.00,14.00,0.00,"Ameca","ND","ND",20.00,32.00,99.00,999.00,99.00,99.00,"ND","ND","Ameca","ND","ND",9999.00,"ND","cerca de Ameca; Valle del Río Ameca; ref.:150 pone la localidad como: Ameca (?), y se basa en Brown (1912) y este último dice: near the town of Ameca",1.00
37.00,16.00,9.00,"Ario","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","Ario","ND","ND",9999.00,"ND","Todo parece indicar que Ario, Ario de Rosales y Ario de Rayón son la misma localidad",1.00
38.00,26.00,0.00,"Arizpe","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","Arizpe","ND","ND",9999.00,"ND","1) 1.5 Km E Arizpe y 97 Km SE Cananea; 2) Rancho la Brisca en el cruce del Rio Sn. Miguel, 25 Km NW Arizpe; ref. 689:1 mi E Arizpe; ref. 737: 1 mi E Arizpe, 60 mi SE Cananea; Ref: 689 Rio Sonora: 60 millas sureste de Cananea; Ref  : sobre el río Sonora 60 mi SE Cananea y 100 mi N La Prietas y San José de Pimas; ref. 876: 1.6 km NE Arizpe, al SW del Cerro Picacho Arizpe: en el mapa está al lado NW del rancho El Basimachi, prácticamente en la unión del río Bacanuchi con el río Sonora.",1.00
39.00,11.00,15.00,"Arperos","F14-C42","1:50,000",21.00,6.00,6.00,101.00,23.00,54.00,"ND","ND","Arperos","ND","ND",1980.00,"ND","Municipio La Luz; ONO del Mineral de la Luz; ¿jabalí es de Moreoleón o de Arperos? Consultar a Freudenberg para el mastodonte",1.00
40.00,1.00,3.00,"Arroyo de Cieneguita","F13-D17","1:50,000",21.00,48.00,12.00,102.00,44.00,48.00,"ND","ND","ciudad de Aguascalientes","ND","ND",1600.00,"ND","14 km Ciudad de Aguascalientes, aprox. a 2000 msnm, entre el camino a Calvillo y la ranchería ""Cieneguita""",1.00
41.00,8.00,0.00,"Arroyo de las Barrancas Blancas","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
42.00,8.00,0.00,"Arroyo de las Calabazas","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
43.00,8.00,0.00,"Arroyo de los Burros","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
44.00,21.00,0.00,"Atlixco","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
45.00,30.00,0.00,"Barranca Seca","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","Acultzingo","ND","3 km E",9999.00,"ND","cerca de Acultzingo; 3 Km E de Acultzingo (ref. 354  y 1)",1.00
46.00,5.00,0.00,"Candela","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
47.00,1.00,0.00,"Cañada Honda","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","Pequeño arroyo que cruza la carretera nueva a Loreto, a 1100 m antes de llegar a Cañada Honda",1.00
48.00,21.00,0.00,"Cañón de Acultzingo","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","verificar sean una misma que la loc. 485 y 130",1.00
49.00,19.00,0.00,"Cerro de la Silla","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","Monterrey","ND","ND",9999.00,"ND","Monterrey; Algunos autores dicen que hay gliptodonte, pero la referencia original no lo menciona",1.00
50.00,19.00,0.00,"Cuevas del Padre","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","Monterrey","ND","ND",9999.00,"ND","30 Km NW Monterrey",1.00
51.00,20.00,0.00,"Ejutla","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
52.00,25.00,14.00,"El Rosario","ND","1:50,000",22.00,59.00,99.00,105.00,51.00,99.00,"ND","ND","El Rosario","ND","ND",20.00,"ND","inmediaciones de El Rosario",1.00
53.00,14.00,0.00,"Guadalajara","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","Guadalajara","ND","ND",9999.00,"ND","Guadalajara",1.00
54.00,8.00,31.00,"Guerrero","ND","1:50,000",28.00,33.00,99.00,107.00,29.00,99.00,"ND","ND","ND","ND","ND",2000.00,"ND"," cerca de Concepción",1.00
55.00,33.00,0.00,"""Hochtals von Mexiko""","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ref. 49 dice que es Edo. México; ref. 150 propone que se trata de Tequixquiac",1.00
56.00,26.00,0.00,"Isla Tiburón","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","Isla Tiburón","ND","ND",9999.00,"ND","Lado N Isla Tiburón; Mitad norte de la isla",1.00
57.00,16.00,0.00,"La Goleta","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
58.00,14.00,0.00,"Lago de Chapala","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","verificar que no sea la misma a la loc. 155 (del edo. de Jalisco)",1.00
59.00,1.00,0.00,"Lomas de Zoyatal","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
60.00,25.00,0.00,"Los Mochis","ND","1:50,000",25.00,48.00,99.00,109.00,0.00,99.00,"ND","ND","ND","ND","ND",10.00,"ND","Alvarez (1965; ref.1) dice que Los Mochis está en Sonora, y se basa para ello en el trabajo de Maldonado-Koerdell (1954; ref.112), pero en esta dice claramente que es Sinaloa, por lo que se procedió a poner como estado a Sinaloa",1.00
61.00,16.00,0.00,"Morelia","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
62.00,11.00,0.00,"Moroleón","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ref 150: Moroleón?; ref.39 y 548 dicen que el material es de Arperos. localidad y año del trabajo dudosos",1.00
63.00,1.00,0.00,"Río Aguascalientes","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","Rancho San Angel","ND","ND",9999.00,"ND","Cerca del Rancho San Angel",1.00
64.00,5.00,0.00,"Río Encantado","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","Ramos Arizpe","ND","ND",9999.00,"ND","cerca de Ramos Arizpe, San Juan y Encantado, Region de Saltillo. Refs.1 y 242 hablan de la localidad como Saltillo, pero es Rio Encantado",1.00
65.00,14.00,0.00,"San Juan de los Lagos","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
66.00,33.00,0.00,"San Luis","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","probablemente esté en el estado de México",1.00
67.00,21.00,0.00,"San Pedro","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
68.00,21.00,114.00,"San Pedro Zacachimalpa","E14-5","1:250,000",19.00,56.00,30.00,97.00,36.00,24.00,"ND","ND","ND","ND","ND",2130.00,"ND","Revisar Felix y Lenk 1891 para confirmar localidad de algunos materiales; ref. 846: barranca de Sn Pedro Zacachimalpa en la regíon de la presa de Valsequillo, al S de ciudad de Puebla",1.00
69.00,9.00,0.00,"Santa Fé","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
70.00,20.00,0.00,"San Pedro Añañe","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","San Pedro Añañe","ND","ND",9999.00,"ND","650m E-NEde San Pedro Añañe",1.00
71.00,15.00,0.00,"ejidos de San Cristobal","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",2240.00,"ND","se halló en la parte en la que se angostaban los antiguos lagos y se unían el Xaltocan-Ecatepec con el de Texcoco. En el predio no. 50 de la calle Cedro.",1.00
72.00,9.00,0.00,"Tacubaya","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","Formación Tacubaya; ref. 862: Tacubaya, cerca de la ciudad de Tacubaya",1.00
73.00,21.00,0.00,"San Pedro Tecamachalco","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
74.00,13.00,0.00,"Tehuichila","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ref. 793: es mioceno",1.00
75.00,15.00,0.00,"Tepexpan","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ref. 766: 250 m al N del sitio donde se encontró el esqueleto humano; ref. 840 y 845: Km 7 de la carretera venta de Carpio-Teotihuacán; ref. 835: junto a la carretera que desde la capital federal conduce a Teotihuacán",1.00
76.00,15.00,0.00,"Tesopaco","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
77.00,26.00,69.00,"Tinajitas","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","verificar que efectivamente la loc. sea del mun. de Yécora",1.00
78.00,21.00,0.00,"Tlatlauqui","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","verificar sean una misma localidad (sierra de Puebla)",1.00
79.00,10.00,0.00,"Bolsón de Mapimí","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","cerca de Torreón: refo original (Freudenberg, 1919): Aus Torreon (im Bolson de Mapimi, ...)",1.00
80.00,8.00,0.00,"Yepómera","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
81.00,9.00,5.00,"Colonia Estrella","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","colindante con los terrenos de la antigua Hda. ""Aragón""; 25 Km S Tepexpan, cerca de Tepeyac",1.00
82.00,9.00,0.00,"Villa de Guadalupe","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","Mezcla de localidades: ref. 49 dice que es Edo. México; ref 150 que es en el Valle de México",1.00
83.00,20.00,0.00,"Yolomecatl","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","Cd. Oaxaca","ND","NW",9999.00,"ND","aprox. 100 Km NW Cd. Oaxaca, 1 Km S Yolomecatl. (En el Km 98 de la carretera Oaxaca-Acatlán, tomar camino entre Yolomecatl y Tlaxiaco",1.00
84.00,15.00,0.00,"Zumpango","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
85.00,2.00,0.00,"Estado de Baja California","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
86.00,8.00,0.00,"Estado de Chihuahua","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
87.00,8.00,0.00,"100 km de Chihuahua","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","Chihuahua","ND","ND",9999.00,"ND","100 Km de Chihuahua",1.00
88.00,16.00,0.00,"Estado de Michoacán","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
89.00,21.00,0.00,"Estado de Puebla","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
90.00,29.00,0.00,"Estado de Tlaxcala","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
91.00,33.00,0.00,"Desconocido","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
92.00,5.00,0.00,"Cuatro Ciénegas","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
93.00,1.00,0.00,"Cedazo","ND","ND",21.00,46.00,99.00,102.00,8.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","Toba Aguascalientes",1.00
94.00,33.00,0.00,"Acultzingo","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","verificar que no sea la misma a la loc. 193 (del edo. Veracruz)",1.00
95.00,12.00,0.00,"Chichihualco","ND","ND",17.00,39.00,99.00,99.00,41.00,99.00,"ND","ND","ND","ND","ND",1140.00,"ND","ND",1.00
96.00,9.00,0.00,"Cd. de México","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","verificar que sea diferente a la loc. 763",1.00
97.00,15.00,0.00,"Valle de Bravo","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","A orillas de una barranca en el Distrito de Valle de Bravo, en el estado de México; ref. 548 (Barrios, 1985) la consigna como Villa de Bravo, pero al revisar la referencia original, resultó obvio que no era así, sino Valle de Bravo",1.00
98.00,31.00,0.00,"Ekmul","ND","ND",20.00,57.00,54.00,89.00,20.00,54.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
99.00,17.00,0.00,"Cueva El Chiflón","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
100.00,27.00,0.00,"Estado de Tabasco","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
101.00,15.00,70.00,"Los Reyes La Paz","E14-B31","1:50,000",19.00,21.00,42.00,98.00,58.00,30.00,"ND","ND","ND","ND","ND",2210.00,"ND","Ref. 768: los materiales provienen de varias cuadras, incluyendo la dos y la 10, cuadras que para esa referencia se manejaron como unidad de análisis.",1.00
102.00,15.00,0.00,"Los Reyes Acozac","E14-B41","1:50,000",19.00,46.00,24.00,98.00,58.00,54.00,"ND","ND","ND","ND","ND",2250.00,"ND","ref. 846: aledaños del poblado Los Reyes de Acozac; ref. 692: cerca de la Villa de los Reyes de Acozac; ref. 49: cerca de Zumpango de Ocampo",1.00
103.00,15.00,0.00,"San Bartolo Atepehuacán","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","verificar que no sea la misma a la loc. 255",1.00
104.00,33.00,0.00,"Xaltocan","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
105.00,15.00,0.00,"Chimalhuacán","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","verificar estado; ref. 747: patio de la casa, sita en Manzana 3, Lote 4, fraccionamiento Cristo Rey, Col. Embarcadero en el Barrio de Xochitenco en Chimalhuacán",1.00
106.00,15.00,0.00,"Tulpetlac","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
107.00,15.00,11.00,"Santa Isabel Iztapan","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","Santa Isabel Iztapan","ND","ND",9999.00,"ND","Ref.548: probablemente se refiera a la localidad de Santa Isabel Iztapan (SII-I), ya que dice ""W-NW Santa Isabel Iztapan, 2 Km SW Tepexpan sobre la carretera San Juan Teotihuacán zanja en la labor del Sr. Mariano Vallejo"" , y esa es la localidad de SII-I; ref. 687: 350 m S del 1er mammut y 2600 S de sitio del hombre de Tepexpan",1.00
108.00,15.00,30.00,"Calxiácatl, Chinconcuac","E14-B21","1:50,000",19.00,33.00,99.00,98.00,54.00,99.00,"ND","ND","ND","ND","ND",2240.00,"ND","a unos metros del Puente Renacimiento y sobre la calle Salitre, Chinconcuac; en el barrio de Calxiacatl, a unos metros del puente Renacimiento que se encuentra en la calle salitre",1.00
109.00,15.00,0.00,"Venta de Carpio","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ref. 169: 3.5 Km de Venta de Carpio, en el camino tanto al lado derecho como izquierdo, comunicando al D. F. con Sn. Juan Teotihuacan, en el tramo comprendido entre la estación de bandera de Venta de Carpio y la de Tepexpan, del Ferrocarril Hidalgo",1.00
110.00,15.00,0.00,"Santa Lucía","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
111.00,21.00,0.00,"Canal de Valsequillo (Tecamachalco)","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
112.00,15.00,0.00,"Almoloya del Río","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","Almoloya del Río","ND","ND",9999.00,"ND","Ref. 50: Km 11 de Almoloya del Rio; ref. 74: Acueducto de Lerma en Almoloya del Río; como ambas referencias tratan de los proboscideos del museo de Geología de la UNAM, se asumió que eran el mismo material y la misma localidad",1.00
113.00,19.00,0.00,"General Zuazua","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
114.00,33.00,0.00,"San Juan Camargo","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
115.00,26.00,0.00,"Caborca","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
116.00,33.00,0.00,"Presa Marte","ND","ND",999.00,99.00,99.00,999.00,99.00,99.00,"ND","ND","ND","ND","ND",9999.00,"ND","ND",1.00
