"siteid"	"sitename"	"longitudeeast"	"latitudenorth"	"longitudewest"	"latitudesouth"	"altitude"	"area"	"sitedescription"	"notes"
11	"Emilio Carranza"	999	999	999	999	9999	NA	NA	"ref. 855: a lo largo del arroyo EL Molino, aguas arriba del poblado de Emilio Carranza, en el SE de Zacatecas"
12	"Chapala-Zacoalco"	999	999	999	999	9999	NA	NA	NA
13	"Apaxco"	999	999	999	999	9999	NA	NA	NA
14	"San Vicente Chicoloapan"	999	999	999	999	9999	NA	NA	"cerca de San Vicente Chicoalapan, en el km 29 de la carretera Ciudad de Mxico-Texcoco. Algunos autores consideran que son dos localidaddes distintas San Vicente Chicoloapan y cerca de Sanvicente Chicoloapan. En el Catlogo del INAH, se observa que son una misma localidad, la cual dice \"minas de arena de San Vicente Chicoloapan\""
15	"Atepetzingo"	999	999	999	999	9999	NA	NA	NA
16	"Valsequillo"	999	999	999	999	9999	NA	NA	NA
17	"Villa Corzo"	-93.2941666666667	16.2108333333333	-93.2941666666667	16.2108333333333	580	NA	NA	"Terracera Villa de Corzo-Monterrey; aprx. 900 m S entronque con la carretera pavimentada a Revolucin Mexicana. El carnvoro puede ser de otro sitio dif. al del perezoso y el proboscideo"
18	"El Golfo"	-114.5275	32.6941666666667	-114.5275	32.6941666666667	9999	NA	NA	NA
19	"Cerro del Tepeyac"	999	999	999	999	9999	NA	NA	"junto a la Basilica de Guadalupe, al N del D.F.; 2 millas NW Peon; al pie del cerro del Tepeyac; cerca de una legua del Peon; en la falda SW de la pequea cordillera de Tepeyac; en la base de los cerros Guadalupe"
20	"Tlapacoya II"	999	999	999	999	9999	NA	NA	"ref. 774: cerrro de Tlaplacoya al S de la Sierra del Pino al SE de la cuenca de Mxico"
21	"Arroyo San Francisco"	999	999	999	999	9999	NA	NA	"Formacin Tacubaya"
22	"Arroyo Cedazo"	-102.260833333333	21.875	-102.260833333333	21.875	9999	NA	NA	"Carranza-Castaeda le dan la ubicacin del Arroyo San Francisco, en algunos de los fsiles: 4 km SE ciudad de Aguascalientes Ref 150:"
23	"Mxico"	999	999	999	999	9999	NA	NA	NA
24	"Arroyo del Arenal"	999	999	999	999	9999	NA	NA	"2 Km NE Rancho Durazno, Valle de El Durazno, Parras"
25	"Arroyo Ojuelo"	-100.900833333333	25.5427777777778	-100.900833333333	25.5427777777778	1390	NA	NA	"1 Km NW Rancho Ojuelo, Valle de El Durazno, Parras; Original NUMERO_MAPA = G14-G24"
26	"Texcoco"	999	999	999	999	9999	NA	NA	"cerca de Texcoco"
27	"Calle Hornedo, Cd. de Aguascalientes"	999	999	999	999	9999	NA	NA	"frente al Templo de San Juan Nepomuceno"
28	"Tula"	999	999	999	999	9999	NA	NA	"cerca de la poblacin de Tula, ref. 824 la menciona como area de Tula"
29	"San Pedro de las Salinas"	999	999	999	999	9999	NA	NA	NA
30	"Rancho Viejo"	999	999	999	999	9999	NA	NA	"Distrito San Miguel Allende"
31	"Valle de Mxico"	999	999	999	999	9999	NA	NA	"ref. 49 dice que es Edo. Mxico"
32	"Las Tunas"	999	999	999	999	9999	NA	NA	NA
33	"Rancho El Carrizal"	999	999	999	999	9999	NA	NA	NA
34	"Rancho Algodones"	999	999	999	999	9999	NA	NA	NA
35	"Santa Rita"	999	999	999	999	9999	NA	NA	NA
36	"Ameca"	999	20.5608333333333	999	20.5608333333333	9999	NA	NA	"cerca de Ameca; Valle del Ro Ameca; ref.:150 pone la localidad como: Ameca (?), y se basa en Brown (1912) y este ltimo dice: near the town of Ameca"
37	"Ario"	999	999	999	999	9999	NA	NA	"Todo parece indicar que Ario, Ario de Rosales y Ario de Rayn son la misma localidad"
38	"Arizpe"	999	999	999	999	9999	NA	NA	"1) 1.5 Km E Arizpe y 97 Km SE Cananea; 2) Rancho la Brisca en el cruce del Rio Sn. Miguel, 25 Km NW Arizpe; ref. 689:1 mi E Arizpe; ref. 737: 1 mi E Arizpe, 60 mi SE Cananea; Ref: 689 Rio Sonora: 60 millas sureste de Cananea; Ref  : sobre el ro Sonora 60 mi SE Cananea y 100 mi N La Prietas y San Jos de Pimas; ref. 876: 1.6 km NE Arizpe, al SW del Cerro Picacho Arizpe: en el mapa est al lado NW del rancho El Basimachi, prcticamente en la unin del ro Bacanuchi con el ro Sonora."
39	"Arperos"	-101.398333333333	21.1016666666667	-101.398333333333	21.1016666666667	1980	NA	NA	"Municipio La Luz; ONO del Mineral de la Luz; jabal es de Moreolen o de Arperos? Consultar a Freudenberg para el mastodonte; Original NUMERO_MAPA = F14-C42"
40	"Arroyo de Cieneguita"	-102.746666666667	21.8033333333333	-102.746666666667	21.8033333333333	1600	NA	NA	"14 km Ciudad de Aguascalientes, aprox. a 2000 msnm, entre el camino a Calvillo y la ranchera \"Cieneguita\"; Original NUMERO_MAPA = F13-D17"
41	"Arroyo de las Barrancas Blancas"	999	999	999	999	9999	NA	NA	NA
42	"Arroyo de las Calabazas"	999	999	999	999	9999	NA	NA	NA
43	"Arroyo de los Burros"	999	999	999	999	9999	NA	NA	NA
44	"Atlixco"	999	999	999	999	9999	NA	NA	NA
45	"Barranca Seca"	999	999	999	999	9999	NA	NA	"cerca de Acultzingo; 3 Km E de Acultzingo (ref. 354  y 1)"
46	"Candela"	999	999	999	999	9999	NA	NA	NA
47	"Caada Honda"	999	999	999	999	9999	NA	NA	"Pequeo arroyo que cruza la carretera nueva a Loreto, a 1100 m antes de llegar a Caada Honda"
48	"Can de Acultzingo"	999	999	999	999	9999	NA	NA	"verificar sean una misma que la loc. 485 y 130"
49	"Cerro de la Silla"	999	999	999	999	9999	NA	NA	"Monterrey; Algunos autores dicen que hay gliptodonte, pero la referencia original no lo menciona"
50	"Cuevas del Padre"	999	999	999	999	9999	NA	NA	"30 Km NW Monterrey"
51	"Ejutla"	999	999	999	999	9999	NA	NA	NA
52	"El Rosario"	-105.8775	23.0108333333333	-105.8775	23.0108333333333	20	NA	NA	"inmediaciones de El Rosario"
53	"Guadalajara"	999	999	999	999	9999	NA	NA	"Guadalajara"
54	"Guerrero"	-107.510833333333	28.5775	-107.510833333333	28.5775	2000	NA	NA	" cerca de Concepcin"
55	"\"Hochtals von Mexiko\""	999	999	999	999	9999	NA	NA	"ref. 49 dice que es Edo. Mxico; ref. 150 propone que se trata de Tequixquiac"
56	"Isla Tiburn"	999	999	999	999	9999	NA	NA	"Lado N Isla Tiburn; Mitad norte de la isla"
57	"La Goleta"	999	999	999	999	9999	NA	NA	NA
58	"Lago de Chapala"	999	999	999	999	9999	NA	NA	"verificar que no sea la misma a la loc. 155 (del edo. de Jalisco)"
59	"Lomas de Zoyatal"	999	999	999	999	9999	NA	NA	NA
60	"Los Mochis"	-109.0275	25.8275	-109.0275	25.8275	10	NA	NA	"Alvarez (1965; ref.1) dice que Los Mochis est en Sonora, y se basa para ello en el trabajo de Maldonado-Koerdell (1954; ref.112), pero en esta dice claramente que es Sinaloa, por lo que se procedi a poner como estado a Sinaloa"
61	"Morelia"	999	999	999	999	9999	NA	NA	NA
62	"Morolen"	999	999	999	999	9999	NA	NA	"ref 150: Morolen?; ref.39 y 548 dicen que el material es de Arperos. localidad y ao del trabajo dudosos"
63	"Ro Aguascalientes"	999	999	999	999	9999	NA	NA	"Cerca del Rancho San Angel"
64	"Ro Encantado"	999	999	999	999	9999	NA	NA	"cerca de Ramos Arizpe, San Juan y Encantado, Region de Saltillo. Refs.1 y 242 hablan de la localidad como Saltillo, pero es Rio Encantado"
65	"San Juan de los Lagos"	999	999	999	999	9999	NA	NA	NA
66	"San Luis"	999	999	999	999	9999	NA	NA	"probablemente est en el estado de Mxico"
67	"San Pedro"	999	999	999	999	9999	NA	NA	NA
68	"San Pedro Zacachimalpa"	-97.6066666666667	19.9416666666667	-97.6066666666667	19.9416666666667	2130	NA	NA	"Revisar Felix y Lenk 1891 para confirmar localidad de algunos materiales; ref. 846: barranca de Sn Pedro Zacachimalpa en la regon de la presa de Valsequillo, al S de ciudad de Puebla; Original NUMERO_MAPA = E14-5"
69	"Santa F"	999	999	999	999	9999	NA	NA	NA
70	"San Pedro Aae"	999	999	999	999	9999	NA	NA	"650m E-NEde San Pedro Aae"
71	"ejidos de San Cristobal"	999	999	999	999	2240	NA	NA	"se hall en la parte en la que se angostaban los antiguos lagos y se unan el Xaltocan-Ecatepec con el de Texcoco. En el predio no. 50 de la calle Cedro."
72	"Tacubaya"	999	999	999	999	9999	NA	NA	"Formacin Tacubaya; ref. 862: Tacubaya, cerca de la ciudad de Tacubaya"
73	"San Pedro Tecamachalco"	999	999	999	999	9999	NA	NA	NA
74	"Tehuichila"	999	999	999	999	9999	NA	NA	"ref. 793: es mioceno"
75	"Tepexpan"	999	999	999	999	9999	NA	NA	"ref. 766: 250 m al N del sitio donde se encontr el esqueleto humano; ref. 840 y 845: Km 7 de la carretera venta de Carpio-Teotihuacn; ref. 835: junto a la carretera que desde la capital federal conduce a Teotihuacn"
76	"Tesopaco"	999	999	999	999	9999	NA	NA	NA
77	"Tinajitas"	999	999	999	999	9999	NA	NA	"verificar que efectivamente la loc. sea del mun. de Ycora"
78	"Tlatlauqui"	999	999	999	999	9999	NA	NA	"verificar sean una misma localidad (sierra de Puebla)"
79	"Bolsn de Mapim"	999	999	999	999	9999	NA	NA	"cerca de Torren: refo original (Freudenberg, 1919): Aus Torreon (im Bolson de Mapimi, ...)"
80	"Yepmera"	999	999	999	999	9999	NA	NA	NA
81	"Colonia Estrella"	999	999	999	999	9999	NA	NA	"colindante con los terrenos de la antigua Hda. \"Aragn\"; 25 Km S Tepexpan, cerca de Tepeyac"
82	"Villa de Guadalupe"	999	999	999	999	9999	NA	NA	"Mezcla de localidades: ref. 49 dice que es Edo. Mxico; ref 150 que es en el Valle de Mxico"
83	"Yolomecatl"	999	999	999	999	9999	NA	NA	"aprox. 100 Km NW Cd. Oaxaca, 1 Km S Yolomecatl. (En el Km 98 de la carretera Oaxaca-Acatln, tomar camino entre Yolomecatl y Tlaxiaco"
84	"Zumpango"	999	999	999	999	9999	NA	NA	NA
85	"Estado de Baja California"	999	999	999	999	9999	NA	NA	NA
86	"Estado de Chihuahua"	999	999	999	999	9999	NA	NA	NA
87	"100 km de Chihuahua"	999	999	999	999	9999	NA	NA	"100 Km de Chihuahua"
88	"Estado de Michoacn"	999	999	999	999	9999	NA	NA	NA
89	"Estado de Puebla"	999	999	999	999	9999	NA	NA	NA
90	"Estado de Tlaxcala"	999	999	999	999	9999	NA	NA	NA
91	"Desconocido"	999	999	999	999	9999	NA	NA	NA
92	"Cuatro Cinegas"	999	999	999	999	9999	NA	NA	NA
93	"Cedazo"	-102.160833333333	21.7941666666667	-102.160833333333	21.7941666666667	9999	NA	NA	"Toba Aguascalientes"
94	"Acultzingo"	999	999	999	999	9999	NA	NA	"verificar que no sea la misma a la loc. 193 (del edo. Veracruz)"
95	"Chichihualco"	-99.7108333333333	17.6775	-99.7108333333333	17.6775	1140	NA	NA	NA
96	"Cd. de Mxico"	999	999	999	999	9999	NA	NA	"verificar que sea diferente a la loc. 763"
97	"Valle de Bravo"	999	999	999	999	9999	NA	NA	"A orillas de una barranca en el Distrito de Valle de Bravo, en el estado de Mxico; ref. 548 (Barrios, 1985) la consigna como Villa de Bravo, pero al revisar la referencia original, result obvio que no era as, sino Valle de Bravo"
98	"Ekmul"	-89.3483333333333	20.965	-89.3483333333333	20.965	9999	NA	NA	NA
99	"Cueva El Chifln"	999	999	999	999	9999	NA	NA	NA
100	"Estado de Tabasco"	999	999	999	999	9999	NA	NA	NA
101	"Los Reyes La Paz"	-98.975	19.3616666666667	-98.975	19.3616666666667	2210	NA	NA	"Ref. 768: los materiales provienen de varias cuadras, incluyendo la dos y la 10, cuadras que para esa referencia se manejaron como unidad de anlisis.; Original NUMERO_MAPA = E14-B31"
102	"Los Reyes Acozac"	-98.9816666666667	19.7733333333333	-98.9816666666667	19.7733333333333	2250	NA	NA	"ref. 846: aledaos del poblado Los Reyes de Acozac; ref. 692: cerca de la Villa de los Reyes de Acozac; ref. 49: cerca de Zumpango de Ocampo; Original NUMERO_MAPA = E14-B41"
103	"San Bartolo Atepehuacn"	999	999	999	999	9999	NA	NA	"verificar que no sea la misma a la loc. 255"
104	"Xaltocan"	999	999	999	999	9999	NA	NA	NA
105	"Chimalhuacn"	999	999	999	999	9999	NA	NA	"verificar estado; ref. 747: patio de la casa, sita en Manzana 3, Lote 4, fraccionamiento Cristo Rey, Col. Embarcadero en el Barrio de Xochitenco en Chimalhuacn"
106	"Tulpetlac"	999	999	999	999	9999	NA	NA	NA
107	"Santa Isabel Iztapan"	999	999	999	999	9999	NA	NA	"Ref.548: probablemente se refiera a la localidad de Santa Isabel Iztapan (SII-I), ya que dice \"W-NW Santa Isabel Iztapan, 2 Km SW Tepexpan sobre la carretera San Juan Teotihuacn zanja en la labor del Sr. Mariano Vallejo\" , y esa es la localidad de SII-I; ref. 687: 350 m S del 1er mammut y 2600 S de sitio del hombre de Tepexpan"
108	"Calxicatl, Chinconcuac"	-98.9275	19.5775	-98.9275	19.5775	2240	NA	NA	"a unos metros del Puente Renacimiento y sobre la calle Salitre, Chinconcuac; en el barrio de Calxiacatl, a unos metros del puente Renacimiento que se encuentra en la calle salitre; Original NUMERO_MAPA = E14-B21"
109	"Venta de Carpio"	999	999	999	999	9999	NA	NA	"ref. 169: 3.5 Km de Venta de Carpio, en el camino tanto al lado derecho como izquierdo, comunicando al D. F. con Sn. Juan Teotihuacan, en el tramo comprendido entre la estacin de bandera de Venta de Carpio y la de Tepexpan, del Ferrocarril Hidalgo"
110	"Santa Luca"	999	999	999	999	9999	NA	NA	NA
111	"Canal de Valsequillo (Tecamachalco)"	999	999	999	999	9999	NA	NA	NA
112	"Almoloya del Ro"	999	999	999	999	9999	NA	NA	"Ref. 50: Km 11 de Almoloya del Rio; ref. 74: Acueducto de Lerma en Almoloya del Ro; como ambas referencias tratan de los proboscideos del museo de Geologa de la UNAM, se asumi que eran el mismo material y la misma localidad"
113	"General Zuazua"	999	999	999	999	9999	NA	NA	NA
114	"San Juan Camargo"	999	999	999	999	9999	NA	NA	NA
115	"Caborca"	999	999	999	999	9999	NA	NA	NA
116	"Presa Marte"	999	999	999	999	9999	NA	NA	NA
117	"Cueva de San Agustn"	999	999	999	999	9999	NA	NA	"Huentla, cerca de Oaxaca, Oax."
118	"Cueva de Bustamante"	999	999	999	999	9999	NA	NA	NA
119	"Cueva de la Mina"	999	999	999	999	9999	NA	NA	NA
120	"Cueva Las Cruces"	999	999	999	999	9999	NA	NA	NA
121	"Cantera El Tajo"	999	999	999	999	9999	NA	NA	NA
122	"Potrecito cerca Cienega"	999	999	999	999	9999	NA	NA	NA
123	"Sierra de Tamaulipas"	999	999	999	999	9999	NA	NA	NA
124	"Jonuta"	-92.1316666666667	18.0883333333333	-92.1316666666667	18.0883333333333	5	NA	NA	"en los mrgenes de los ros Usumacinta y Palizada, en el lmite de Tabasco y Campeche; Original NUMERO_MAPA = E15-5"
125	"Sureste"	999	999	999	999	9999	NA	NA	NA
126	"cercanas del Valle del Maz"	999	999	999	999	9999	NA	NA	NA
127	"Cueva de la Zona de Derrumbes"	999	999	999	999	9999	NA	NA	"ver.localidad, en una ref. es desconocida y en 94 es N.L."
128	"cerca de Tehuantepec"	999	999	999	999	9999	NA	NA	"verificar que no sea la misma que la loc. 683 del edo de Oaxaca"
129	"Amanalco de Becerra? Valle de Bravo"	999	999	999	999	9999	NA	NA	NA
130	"Caada de Aculzingo"	999	999	999	999	9999	NA	NA	"verificar sean una misma que la loc. 485 (del edo. de Veracruz), o loc. 48 (del edo. de Puebla)"
131	"cerca de Lagunilla, Valle del Mezquital"	999	999	999	999	1800	NA	NA	"ref. 131: cerca de Lagunilla. de Ixmiquilpan rumbo al noroeste, oriente y sureste,un amplio valle."
133	"regin de Tepexpan"	999	999	999	999	9999	NA	NA	"aprox. 35 Km al NE de la ciudad de Mxico; formacin Becerra superior"
134	"El Risco I"	999	999	999	999	9999	NA	NA	"verificar que no sea la misma que la loc. 815"
135	"El Pen de los Baos? Texcoco"	999	999	999	999	9999	NA	NA	NA
136	"Iztln?"	999	999	999	999	9999	NA	NA	NA
137	"Regin de Juchipila"	999	999	999	999	9999	NA	NA	NA
138	"Ro Bravo"	999	999	999	999	9999	NA	NA	NA
139	"Tehuichila"	999	999	999	999	9999	NA	NA	NA
140	"Tehuichila"	999	999	999	999	9999	NA	NA	"Edad relativa: Loup Fork age"
141	"una llanura en el territorio sur de la peninsula"	999	999	999	999	9999	NA	NA	"ref. 845: dice unicamente del edo. de Baja California"
142	"Valle de Amajaque"	999	999	999	999	9999	NA	NA	"Alvarez 1965 y Mena de la Pea 1975: es plioceno."
143	"Valle de Toluca"	999	999	999	999	9999	NA	NA	"Todos se basan en las mismas referencias Villada (1897, 1903, 1905), que no mencionan claramente el estado, pero todos los demas autores lo refieren al estado de Mxico, por lo que se dej com Edo. Mx."
144	"Xico"	999	999	999	999	9999	NA	NA	"cerca de Xico. ref. 847 y 692: margen sur del lago de Texcoco, en una mina de arenas fosilferas (basadas en Herrera, 1893: ref. 837); en una cantera a orillas del lago de Chalco; cerca de Astahuacn. Ref. 841 y 842 no dicen de que estado es, pero como son trabajos posteriores a la ref. 837, se dej con el mismo estado que en ese trabajo"
145	"antigua ribera de Lago de Chapala"	999	999	999	999	9999	NA	NA	"aprox. 700 m al NO de \"Petatn\", casero de pescadores situados en la antigua ribera del lago, aunos 6 Km al NO de Cojumatlan"
146	"Tehuacn"	999	999	999	999	9999	NA	NA	NA
147	"Tehuantepec"	999	999	999	999	9999	NA	NA	NA
149	"Estado de Oaxaca"	999	999	999	999	9999	NA	NA	NA
150	"Estado de Coahuila"	999	999	999	999	9999	NA	NA	NA
151	"Arroyo Comond"	999	999	999	999	9999	NA	NA	"llanura en las cercanas del arroyo Comond, aprox. a 40 km W Loreto. PROB. SEA IGUAL QUE LOC. 296"
152	"Estado de Jalisco"	999	999	999	999	9999	NA	NA	NA
153	"Estado de Guanajuato"	999	999	999	999	9999	NA	NA	NA
154	"SW de la regin de Tepechpan (sic)"	999	999	999	999	9999	NA	NA	NA
155	"Tlapanayola"	999	999	999	999	9999	NA	NA	NA
156	"Cerrito de la Cruz"	999	999	999	999	9999	NA	NA	"cerca de Arroyo del Cedazo"
157	"Arroyo Malacate"	999	999	999	999	9999	NA	NA	NA
158	"Arroyo Pargas"	999	999	999	999	9999	NA	NA	NA
159	"Paso Hondo y Cobos"	999	999	999	999	9999	NA	NA	NA
160	"Caada de Cotorina"	999	999	999	999	9999	NA	NA	NA
161	"Ixtapalapa"	999	999	999	999	9999	NA	NA	NA
162	"San Buenaventura"	-101.546666666667	27.0625	-101.546666666667	27.0625	490	NA	NA	"Original NUMERO_MAPA = G14-A42"
163	"Villa Flores"	-93.3108333333333	16.2608333333333	-93.3108333333333	16.2608333333333	540	NA	NA	NA
164	"Ciudad Delicias"	999	999	999	999	9999	NA	NA	NA
165	"Iguala"	999	999	999	999	9999	NA	NA	"inmediaciones de Iguala"
166	"Cueva La Nopalera"	999	999	999	999	9999	NA	NA	"Tepeapulco"
167	"Mineral del Monte"	999	999	999	999	9999	NA	NA	NA
168	"Juchitln"	999	999	999	999	9999	NA	NA	NA
169	"Santa Catarina"	999	999	999	999	9999	NA	NA	NA
170	"Barranca de Acatln, Tequixquiac"	999	999	999	999	9999	NA	NA	NA
171	"Teatro Latino (Paseo de la Reforma)"	999	999	999	999	9999	NA	NA	"verificar que la localidad no tenga los datos de Paseo de la Reforma y Havre (pozo P-366-2), que segn Barrios (1985;ref.548), es otra localidad"
172	"Barranca del Muerto"	999	999	999	999	9999	NA	NA	NA
173	"Edificio Latino Americano"	999	999	999	999	9999	NA	NA	"Av. Insurgentes esq. Q. Roo"
174	"Jilotepec"	999	999	999	999	9999	NA	NA	NA
175	"Tecolapa"	999	999	999	999	9999	NA	NA	"cerca de Jilotepec"
176	"Tonatico"	999	999	999	999	9999	NA	NA	NA
177	"Panten Dolores"	999	999	999	999	9999	NA	NA	NA
178	"San Jernimo Ldice"	999	999	999	999	9999	NA	NA	NA
180	"Apaxco (en mina de Calhidra)"	999	999	999	999	9999	NA	NA	"verificar que no sea la misma a la loc. 13"
181	"Zacapu"	999	999	999	999	9999	NA	NA	NA
182	"Rancho Las Ollas"	999	999	999	999	9999	NA	NA	NA
183	"Cuautla"	999	999	999	999	9999	NA	NA	NA
184	"Acatln"	999	999	999	999	9999	NA	NA	NA
185	"San Martn Texmelucan"	999	999	999	999	9999	NA	NA	NA
186	"Hda. de Zotoluca (cerca de Apizaco)"	999	999	999	999	9999	NA	NA	NA
187	"Estado de Veracruz"	999	999	999	999	9999	NA	NA	NA
188	"Xicotncatl"	999	999	999	999	9999	NA	NA	"dentro del Valle del Mamut, a la izquierda del camino que va el Ejido de Santa Rosa, a 500m de la entrada"
189	"Rancho Peotillos"	999	999	999	999	9999	NA	NA	NA
190	"Estado de San Luis Potos"	999	999	999	999	9999	NA	NA	NA
191	"Paso del Aguila (cerca de San Nicols Tolentino)"	999	999	999	999	9999	NA	NA	NA
192	"Rayn"	999	999	999	999	9999	NA	NA	NA
193	"Caada de Aculcingo"	999	999	999	999	9999	NA	NA	"ref. 846: a 25 Km al W de Orizaba"
194	"Tantoyuca"	-98.2283333333333	21.3516666666667	-98.2283333333333	21.3516666666667	100	NA	NA	"Original NUMERO_MAPA = F14-8"
195	"Ciudad de Zacatecas"	999	999	999	999	9999	NA	NA	NA
196	"San Miguel Tecamachalco"	999	999	999	999	9999	NA	NA	"verificar que no sea la misma a la loc. 648 (del Edo. de Mx.)"
197	"Santa Catalina Chinango"	999	999	999	999	9999	NA	NA	"1 Km SE Santa Catalina Chinango, en la barranca formada en una planicie llamada Llano de la Luna"
198	"Aramberri"	999	999	999	999	9999	NA	NA	"probablemente sea Cueva de San Josecito"
199	"Tlhuac"	999	999	999	999	9999	NA	NA	NA
200	"Hacienda de Hornos"	999	999	999	999	9999	NA	NA	NA
201	"Ro Verde"	999	999	999	999	9999	NA	NA	NA
202	"Ro San Juan"	999	999	999	999	9999	NA	NA	NA
203	"Quitovac"	999	999	999	999	9999	NA	NA	NA
204	"Peon Viejo"	999	999	999	999	9999	NA	NA	NA
205	"Santa Isabel Iztapan I"	999	999	999	999	9999	NA	NA	"Mamut no. 1: NW Santa Isabel Iztapan. Ref. 846: en un punto situado a 2.25 km SSW estacin ferroviaria de Tepexpan; S de Tepexpan; 2 km SW Tepexpan y WNW Santa Isabel Iztapan; ref.1: dice errneamente \"WNE Santa Isabel Iztapan\""
206	"estacin Tepexpan"	999	999	999	999	9999	NA	NA	"al lado derecho del camino, justamente a espaldas de la estacin del ferrocarril Tepexpan"
207	"Hacienda de Tepexpan"	999	999	999	999	9999	NA	NA	NA
208	"El Ocotln"	999	999	999	999	9999	NA	NA	"Cerca de Jonuta, Tabasco"
209	"Zohapilco"	999	999	999	999	9999	NA	NA	"en la base E-N del cerro de Las Cruces , uno de los puntos culminantes del cerro de Tlapacoya, y en la extremidad sur del actual pueblo del mismo nombre"
210	"Mina"	999	999	999	999	9999	NA	NA	NA
211	"Actun Lara"	999	999	999	999	9999	NA	NA	"Serrana entre Yokat y Ticul; cerca de Ticul; ref 713: Cueva Actn y Lara"
212	"Cueva de las Iglesias"	999	999	999	999	9999	NA	NA	"en el caon del Soldado, Mpio. de Lerdo"
213	"Can del Soldado"	999	999	999	999	9999	NA	NA	NA
214	"Tlatilco"	999	999	999	999	9999	NA	NA	"2.5 Km S San Bartolo Naucalpan"
215	"Chichen Itza"	-88.51	20.67	-88.51	20.67	9999	NA	NA	NA
216	"Cueva de Monte Flor"	999	999	999	999	9999	NA	NA	NA
217	"Tequesquinahua"	999	999	999	999	9999	NA	NA	NA
218	"Santa Ana Babcora"	999	999	999	999	9999	NA	NA	NA
219	"Azcapotzalco"	999	999	999	999	9999	NA	NA	NA
220	"Atotonilco El Bajo"	999	999	999	999	9999	NA	NA	NA
221	"Hueyatlaco"	999	999	999	999	2056	NA	NA	"ref. 490: 50 m Ndel nucleo principal de excavaciones arqueolgicas de la localidad Hueyatlaco (proyecto Valsequillo); en el pie de una elevacin donde afloran las brayas Valsequillo (cota 2056)"
222	"cerca del valle de Tequixquiac"	999	999	999	999	9999	NA	NA	"regon ded Zumpango, en el extremo N de la Cuenca de Mxico, verificar que sea diferente a la loc. 332 y 276"
223	"La Guitarra"	999	999	999	999	9999	NA	NA	"aprox. a la mitad del camino Tonichi-Sahuaripa, cerca del poblado La Guitarra"
224	"pueblo de San Pedro Atzompa"	999	999	999	999	9999	NA	NA	NA
225	"Tepeji de Rodriguez"	-98.1441666666667	18.5275	-98.1441666666667	18.5275	9999	NA	NA	NA
226	"Templo Mayor"	999	999	999	999	9999	NA	NA	NA
227	"Laguna de la Media Luna"	-100.110833333333	21.9441666666667	-100.110833333333	21.9441666666667	9999	NA	NA	NA
228	"El Meco"	999	999	999	999	9999	NA	NA	NA
229	"Tepexpan (El Risco II)"	999	999	999	999	9999	NA	NA	"Tepexpan es una pequea villa emplazada sobre la carretera que conduce desde Mxico a Acolman y las pirmides de Teotihuacn. Se encuentra a 300 m al N de una tajea, cerca del poste de piedra indicador del Km 6 de la carretera y a 900 m al W de la pared que rodea al Hospital de enfermos cronicos"
230	"Actun Coyok"	999	999	999	999	9999	NA	NA	"cerca de 6.5 Km SW Oxkutzcab"
231	"Actun Chacaljas"	999	999	999	999	9999	NA	NA	"cerca de 0.5 Km Actun Spukil en direccin a Hacienda Calcehtok"
