"IDLOCALIDAD"	"IDESTADO"	"IDMUNICIPI"	"NOMBRE_LOCALIDAD"	"NUMERO_MAPA"	"ESCALA_MAPA"	"LATITUD_GRADOS"	"LATITUD_MINUTOS"	"LATITUD_SEGUNDOS"	"LONGITUD_GRADOS"	"LONGITUD_MINUTOS"	"LONGITUD_SEGUNDOS"	"MERCATOR_NORTE"	"MERCATOR_ESTE"	"LOCALIDAD"	"COORDENADA_N.S"	"COORDENADA_E.W"	"ELEVACION"	"IDPRECISION"	"COMENTARIOS"	"suma"	"with.coords"	"num.abs.dates"	"num.rel.ages"	"primary.pubs"	"num.taxa"	"spatial.rank"	"temporal.rank"	"material.rank"	"taxa.rank"
11	32	0	"Emilio Carranza"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ref. 855: a lo largo del arroyo EL Molino, aguas arriba del poblado de Emilio Carranza, en el SE de Zacatecas"	1	"N"	0	1	TRUE	2	2	2	1	3
12	14	0	"Chapala-Zacoalco"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	1	5	TRUE	79	2	1	1	1
13	15	0	"Apaxco"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	2	TRUE	6	2	2	1	2
14	15	0	"San Vicente Chicoloapan"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"cerca de San Vicente Chicoalapan, en el km 29 de la carretera Ciudad de Mxico-Texcoco. Algunos autores consideran que son dos localidaddes distintas San Vicente Chicoloapan y cerca de Sanvicente Chicoloapan. En el Catlogo del INAH, se observa que son una misma localidad, la cual dice \"minas de arena de San Vicente Chicoloapan\""	1	"N"	0	2	TRUE	6	2	2	1	2
15	21	0	"Atepetzingo"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	4	2	TRUE	4	2	1	1	3
16	21	0	"Valsequillo"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	4	3	TRUE	45	2	1	1	1
17	7	107	"Villa Corzo"	"ND"	"ND"	16	11	99	93	16	99	"ND"	"ND"	"ND"	"ND"	"ND"	580	"ND"	"Terracera Villa de Corzo-Monterrey; aprx. 900 m S entronque con la carretera pavimentada a Revolucin Mexicana. El carnvoro puede ser de otro sitio dif. al del perezoso y el proboscideo"	1	"Y"	0	2	TRUE	3	1	2	1	3
18	26	0	"El Golfo"	"ND"	"ND"	32	40	99	114	30	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"Y"	0	6	TRUE	46	1	2	1	1
19	9	0	"Cerro del Tepeyac"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"junto a la Basilica de Guadalupe, al N del D.F.; 2 millas NW Peon; al pie del cerro del Tepeyac; cerca de una legua del Peon; en la falda SW de la pequea cordillera de Tepeyac; en la base de los cerros Guadalupe"	1	"N"	0	2	TRUE	8	2	2	1	2
20	15	0	"Tlapacoya II"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ref. 774: cerrro de Tlaplacoya al S de la Sierra del Pino al SE de la cuenca de Mxico"	1	"N"	0	1	TRUE	5	2	2	1	2
21	1	0	"Arroyo San Francisco"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ciudad de Aguascalientes"	"4 Km SE"	"ND"	9999	"ND"	"Formacin Tacubaya"	1	"N"	0	2	TRUE	36	2	2	1	1
22	1	0	"Arroyo Cedazo"	"ND"	"ND"	21	52	30	102	14	99	"ND"	"ND"	"ciudad de Aguascalientes"	"3 Km SE"	"ND"	9999	"ND"	"Carranza-Castaeda le dan la ubicacin del Arroyo San Francisco, en algunos de los fsiles: 4 km SE ciudad de Aguascalientes Ref 150:"	1	"Y"	1	6	TRUE	51	1	1	1	1
23	33	0	"Mxico"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"Ref. 336 dice cuenca de Mxico"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	1	7	TRUE	129	2	1	1	1
24	5	0	"Arroyo del Arenal"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"2 Km NE Rancho Durazno, Valle de El Durazno, Parras"	1	"N"	0	1	TRUE	2	2	2	1	3
25	5	27	"Arroyo Ojuelo"	"G14-G24"	"1:50,000"	25	32	34	100	54	3	"ND"	"ND"	"ND"	"ND"	"ND"	1390	"ND"	"1 Km NW Rancho Ojuelo, Valle de El Durazno, Parras"	1	"Y"	0	1	TRUE	2	1	2	1	3
26	15	0	"Texcoco"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"cerca de Texcoco"	1	"N"	1	1	TRUE	2	2	1	1	3
27	1	1	"Calle Hornedo, Cd. de Aguascalientes"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ciudad de Aguascalientes"	"ND"	"ND"	9999	"ND"	"frente al Templo de San Juan Nepomuceno"	1	"N"	0	1	TRUE	1	2	2	1	3
28	28	0	"Tula"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"cerca de la poblacin de Tula, ref. 824 la menciona como area de Tula"	1	"N"	0	1	TRUE	5	2	2	1	2
29	15	0	"San Pedro de las Salinas"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	2	2	TRUE	5	2	1	1	2
30	11	0	"Rancho Viejo"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"Distrito San Miguel Allende"	"ND"	"ND"	9999	"ND"	"Distrito San Miguel Allende"	1	"N"	0	1	FALSE	1	2	2	2	3
31	33	0	"Valle de Mxico"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ref. 49 dice que es Edo. Mxico"	1	"N"	3	8	TRUE	107	2	1	1	1
32	3	0	"Las Tunas"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	6	2	2	2	2
33	3	0	"Rancho El Carrizal"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	3	TRUE	14	2	2	1	1
34	3	0	"Rancho Algodones"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	2	2	2	2	3
35	3	0	"Santa Rita"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	3	2	2	1	3
36	14	0	"Ameca"	"ND"	"ND"	20	32	99	999	99	99	"ND"	"ND"	"Ameca"	"ND"	"ND"	9999	"ND"	"cerca de Ameca; Valle del Ro Ameca; ref.:150 pone la localidad como: Ameca (?), y se basa en Brown (1912) y este ltimo dice: near the town of Ameca"	1	"Y"	0	4	TRUE	13	1	2	1	1
37	16	9	"Ario"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"Ario"	"ND"	"ND"	9999	"ND"	"Todo parece indicar que Ario, Ario de Rosales y Ario de Rayn son la misma localidad"	1	"N"	0	1	FALSE	1	2	2	2	3
38	26	0	"Arizpe"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"Arizpe"	"ND"	"ND"	9999	"ND"	"1) 1.5 Km E Arizpe y 97 Km SE Cananea; 2) Rancho la Brisca en el cruce del Rio Sn. Miguel, 25 Km NW Arizpe; ref. 689:1 mi E Arizpe; ref. 737: 1 mi E Arizpe, 60 mi SE Cananea; Ref: 689 Rio Sonora: 60 millas sureste de Cananea; Ref  : sobre el ro Sonora 60 mi SE Cananea y 100 mi N La Prietas y San Jos de Pimas; ref. 876: 1.6 km NE Arizpe, al SW del Cerro Picacho Arizpe: en el mapa est al lado NW del rancho El Basimachi, prcticamente en la unin del ro Bacanuchi con el ro Sonora."	1	"N"	0	4	TRUE	5	2	2	1	2
39	11	15	"Arperos"	"F14-C42"	"1:50,000"	21	6	6	101	23	54	"ND"	"ND"	"Arperos"	"ND"	"ND"	1980	"ND"	"Municipio La Luz; ONO del Mineral de la Luz; jabal es de Moreolen o de Arperos? Consultar a Freudenberg para el mastodonte"	1	"Y"	0	1	TRUE	3	1	2	1	3
40	1	3	"Arroyo de Cieneguita"	"F13-D17"	"1:50,000"	21	48	12	102	44	48	"ND"	"ND"	"ciudad de Aguascalientes"	"ND"	"ND"	1600	"ND"	"14 km Ciudad de Aguascalientes, aprox. a 2000 msnm, entre el camino a Calvillo y la ranchera \"Cieneguita\""	1	"Y"	0	1	TRUE	3	1	2	1	3
41	8	0	"Arroyo de las Barrancas Blancas"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	3	2	2	2	3
42	8	0	"Arroyo de las Calabazas"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	1	2	2	2	3
43	8	0	"Arroyo de los Burros"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	1	2	2	2	3
44	21	0	"Atlixco"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	2	TRUE	3	2	2	1	3
45	30	0	"Barranca Seca"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"Acultzingo"	"ND"	"3 km E"	9999	"ND"	"cerca de Acultzingo; 3 Km E de Acultzingo (ref. 354  y 1)"	1	"N"	0	2	TRUE	7	2	2	1	2
46	5	0	"Candela"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	2	2	2	1	3
47	1	0	"Caada Honda"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"Pequeo arroyo que cruza la carretera nueva a Loreto, a 1100 m antes de llegar a Caada Honda"	1	"N"	0	1	FALSE	2	2	2	2	3
48	21	0	"Can de Acultzingo"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"verificar sean una misma que la loc. 485 y 130"	1	"N"	0	2	TRUE	4	2	2	1	3
49	19	0	"Cerro de la Silla"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"Monterrey"	"ND"	"ND"	9999	"ND"	"Monterrey; Algunos autores dicen que hay gliptodonte, pero la referencia original no lo menciona"	1	"N"	0	1	TRUE	5	2	2	1	2
50	19	0	"Cuevas del Padre"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"Monterrey"	"ND"	"ND"	9999	"ND"	"30 Km NW Monterrey"	1	"N"	0	1	TRUE	1	2	2	1	3
51	20	0	"Ejutla"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	2	TRUE	8	2	2	1	2
52	25	14	"El Rosario"	"ND"	"1:50,000"	22	59	99	105	51	99	"ND"	"ND"	"El Rosario"	"ND"	"ND"	20	"ND"	"inmediaciones de El Rosario"	1	"Y"	0	1	TRUE	3	1	2	1	3
53	14	0	"Guadalajara"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"Guadalajara"	"ND"	"ND"	9999	"ND"	"Guadalajara"	1	"N"	0	1	TRUE	2	2	2	1	3
54	8	31	"Guerrero"	"ND"	"1:50,000"	28	33	99	107	29	99	"ND"	"ND"	"ND"	"ND"	"ND"	2000	"ND"	" cerca de Concepcin"	1	"Y"	0	2	TRUE	4	1	2	1	3
55	33	0	"\"Hochtals von Mexiko\""	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ref. 49 dice que es Edo. Mxico; ref. 150 propone que se trata de Tequixquiac"	1	"N"	0	2	FALSE	16	2	2	2	1
56	26	0	"Isla Tiburn"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"Isla Tiburn"	"ND"	"ND"	9999	"ND"	"Lado N Isla Tiburn; Mitad norte de la isla"	1	"N"	0	1	TRUE	1	2	2	1	3
57	16	0	"La Goleta"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	1	2	2	2	3
58	14	0	"Lago de Chapala"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"verificar que no sea la misma a la loc. 155 (del edo. de Jalisco)"	1	"N"	0	1	TRUE	17	2	2	1	1
59	1	0	"Lomas de Zoyatal"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	8	2	2	1	2
60	25	0	"Los Mochis"	"ND"	"1:50,000"	25	48	99	109	0	99	"ND"	"ND"	"ND"	"ND"	"ND"	10	"ND"	"Alvarez (1965; ref.1) dice que Los Mochis est en Sonora, y se basa para ello en el trabajo de Maldonado-Koerdell (1954; ref.112), pero en esta dice claramente que es Sinaloa, por lo que se procedi a poner como estado a Sinaloa"	1	"Y"	0	1	TRUE	1	1	2	1	3
61	16	0	"Morelia"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	1	2	2	2	3
62	11	0	"Morolen"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ref 150: Morolen?; ref.39 y 548 dicen que el material es de Arperos. localidad y ao del trabajo dudosos"	1	"N"	0	1	TRUE	2	2	2	1	3
63	1	0	"Ro Aguascalientes"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"Rancho San Angel"	"ND"	"ND"	9999	"ND"	"Cerca del Rancho San Angel"	1	"N"	0	1	TRUE	5	2	2	1	2
64	5	0	"Ro Encantado"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"Ramos Arizpe"	"ND"	"ND"	9999	"ND"	"cerca de Ramos Arizpe, San Juan y Encantado, Region de Saltillo. Refs.1 y 242 hablan de la localidad como Saltillo, pero es Rio Encantado"	1	"N"	0	1	TRUE	3	2	2	1	3
65	14	0	"San Juan de los Lagos"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	3	2	2	1	3
66	33	0	"San Luis"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"probablemente est en el estado de Mxico"	1	"N"	0	1	TRUE	5	2	2	1	2
67	21	0	"San Pedro"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	1	2	2	2	3
68	21	114	"San Pedro Zacachimalpa"	"E14-5"	"1:250,000"	19	56	30	97	36	24	"ND"	"ND"	"ND"	"ND"	"ND"	2130	"ND"	"Revisar Felix y Lenk 1891 para confirmar localidad de algunos materiales; ref. 846: barranca de Sn Pedro Zacachimalpa en la regon de la presa de Valsequillo, al S de ciudad de Puebla"	1	"Y"	0	2	TRUE	13	1	2	1	1
69	9	0	"Santa F"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	2	TRUE	3	2	2	1	3
70	20	0	"San Pedro Aae"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"San Pedro Aae"	"ND"	"ND"	9999	"ND"	"650m E-NEde San Pedro Aae"	1	"N"	0	1	TRUE	1	2	2	1	3
71	15	0	"ejidos de San Cristobal"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	2240	"ND"	"se hall en la parte en la que se angostaban los antiguos lagos y se unan el Xaltocan-Ecatepec con el de Texcoco. En el predio no. 50 de la calle Cedro."	1	"N"	1	1	TRUE	1	2	1	1	3
72	9	0	"Tacubaya"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"Formacin Tacubaya; ref. 862: Tacubaya, cerca de la ciudad de Tacubaya"	1	"N"	0	2	TRUE	3	2	2	1	3
73	21	0	"San Pedro Tecamachalco"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	7	2	2	1	2
74	13	0	"Tehuichila"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ref. 793: es mioceno"	1	"N"	3	1	TRUE	3	2	1	1	3
75	15	0	"Tepexpan"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ref. 766: 250 m al N del sitio donde se encontr el esqueleto humano; ref. 840 y 845: Km 7 de la carretera venta de Carpio-Teotihuacn; ref. 835: junto a la carretera que desde la capital federal conduce a Teotihuacn"	1	"N"	3	4	TRUE	14	2	1	1	1
76	15	0	"Tesopaco"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
77	26	69	"Tinajitas"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"verificar que efectivamente la loc. sea del mun. de Ycora"	1	"N"	0	1	FALSE	0	2	2	2	4
78	21	0	"Tlatlauqui"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"verificar sean una misma localidad (sierra de Puebla)"	1	"N"	0	1	TRUE	2	2	2	1	3
79	10	0	"Bolsn de Mapim"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"cerca de Torren: refo original (Freudenberg, 1919): Aus Torreon (im Bolson de Mapimi, ...)"	1	"N"	0	3	TRUE	3	2	2	1	3
80	8	0	"Yepmera"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	2	TRUE	14	2	2	1	1
81	9	5	"Colonia Estrella"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"colindante con los terrenos de la antigua Hda. \"Aragn\"; 25 Km S Tepexpan, cerca de Tepeyac"	1	"N"	0	1	TRUE	3	2	2	1	3
82	9	0	"Villa de Guadalupe"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"Mezcla de localidades: ref. 49 dice que es Edo. Mxico; ref 150 que es en el Valle de Mxico"	1	"N"	0	2	TRUE	6	2	2	1	2
83	20	0	"Yolomecatl"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"Cd. Oaxaca"	"ND"	"NW"	9999	"ND"	"aprox. 100 Km NW Cd. Oaxaca, 1 Km S Yolomecatl. (En el Km 98 de la carretera Oaxaca-Acatln, tomar camino entre Yolomecatl y Tlaxiaco"	1	"N"	0	1	TRUE	1	2	2	1	3
84	15	0	"Zumpango"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	3	TRUE	14	2	2	1	1
85	2	0	"Estado de Baja California"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	2	2	2	2	3
86	8	0	"Estado de Chihuahua"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	4	TRUE	14	2	2	1	1
87	8	0	"100 km de Chihuahua"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"Chihuahua"	"ND"	"ND"	9999	"ND"	"100 Km de Chihuahua"	1	"N"	0	1	FALSE	1	2	2	2	3
88	16	0	"Estado de Michoacn"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	2	TRUE	3	2	2	1	3
89	21	0	"Estado de Puebla"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	5	TRUE	13	2	2	1	1
90	29	0	"Estado de Tlaxcala"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	2	TRUE	3	2	2	1	3
91	33	0	"Desconocido"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	25	2	2	1	1
92	5	0	"Cuatro Cinegas"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	5	TRUE	47	2	2	1	1
93	1	0	"Cedazo"	"ND"	"ND"	21	46	99	102	8	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"Toba Aguascalientes"	1	"Y"	0	5	TRUE	71	1	2	1	1
94	33	0	"Acultzingo"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"verificar que no sea la misma a la loc. 193 (del edo. Veracruz)"	1	"N"	0	1	FALSE	1	2	2	2	3
95	12	0	"Chichihualco"	"ND"	"ND"	17	39	99	99	41	99	"ND"	"ND"	"ND"	"ND"	"ND"	1140	"ND"	"ND"	1	"Y"	0	1	TRUE	4	1	2	1	3
96	9	0	"Cd. de Mxico"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"verificar que sea diferente a la loc. 763"	1	"N"	0	1	FALSE	2	2	2	2	3
97	15	0	"Valle de Bravo"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"A orillas de una barranca en el Distrito de Valle de Bravo, en el estado de Mxico; ref. 548 (Barrios, 1985) la consigna como Villa de Bravo, pero al revisar la referencia original, result obvio que no era as, sino Valle de Bravo"	1	"N"	0	2	TRUE	2	2	2	1	3
98	31	0	"Ekmul"	"ND"	"ND"	20	57	54	89	20	54	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"Y"	0	1	TRUE	1	1	2	1	3
99	17	0	"Cueva El Chifln"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	13	2	2	1	1
100	27	0	"Estado de Tabasco"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	1	2	2	2	3
